A,B,C
98,6,0
30,38,1
3,27,1
0,0,1
16,69,1
14,87,1
74,22,0
80,59,0
2,82,1
97,76,0
48,17,0
61,21,0
62,62,1
37,51,1
84,17,0
79,73,0
92,14,0
14,59,1
99,55,0
82,3,0
49,85,1
26,80,1
55,62,1
49,21,0
38,47,1
83,48,0
93,97,1
35,82,1
58,78,1
44,56,1
13,44,1
63,44,0
91,19,0
99,49,0
0,73,1
43,20,0
86,49,0
31,97,1
5,63,1
88,45,0
29,96,1
30,74,1
5,26,1
48,86,1
37,25,0
21,59,1
69,59,0
74,10,0
29,36,1
74,62,0
15,85,1
36,44,1
70,80,1
8,11,1
70,96,1
83,71,0
57,90,1
88,29,0
30,40,1
68,0,0
74,77,1
13,93,1
97,29,0
50,65,1
45,22,0
36,36,1
73,25,0
56,89,1
12,97,1
42,91,1
77,25,0
0,91,1
18,31,1
100,90,0
52,0,0
80,54,0
38,58,1
58,44,0
54,79,1
71,48,0
79,72,0
11,12,1
42,1,0
51,17,0
69,52,0
97,52,0
64,78,1
90,10,0
59,31,0
45,48,1
63,10,0
48,93,1
90,30,0
98,25,0
63,8,0
40,78,1
7,10,1
64,98,1
17,48,1
95,100,1
